time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-19T20:07:38.340Z,34.302,-116.439,8.75,1.3,ml,30,44,0.04789,0.24,ci,ci37259752,2014-08-19T20:18:34.650Z,"20km N of Yucca Valley, California",earthquake
2014-08-19T19:55:15.890Z,32.9276667,-116.233,8.43,1.2,ml,19,76,0.02006,0.28,ci,ci37259744,2014-08-19T20:00:40.200Z,"30km ENE of Pine Valley, California",earthquake
2014-08-19T19:45:11.900Z,38.7942,-122.7543,4.1,1.9,Md,17,64.8,0.03593261,0.04,nc,nc72280326,2014-08-19T22:47:09.281Z,"1km N of The Geysers, California",earthquake
2014-08-19T19:37:47.710Z,38.25,-118.6657,0.93,1.07,ml,11,139.34,0.13,,nn,nn00456548,2014-08-19T19:43:16.720Z,"30km S of Hawthorne, Nevada",earthquake
2014-08-19T19:29:16.000Z,61.8121,-146.6171,14.2,1.3,ml,,,,0.64,ak,ak11360741,2014-08-19T19:41:20.183Z,"65km WSW of Glennallen, Alaska",earthquake
2014-08-19T19:28:37.750Z,38.7478,-117.075,7.91,1.35,ml,9,212.22,1.164,,nn,nn00456544,2014-08-19T19:30:59.922Z,"74km E of Gabbs, Nevada",earthquake
2014-08-19T19:24:30.000Z,52.973,-166.6495,23.4,1.5,ml,,,,0.21,ak,ak11360740,2014-08-19T21:02:02.319Z,"100km S of Unalaska, Alaska",earthquake
2014-08-19T19:19:30.000Z,62.0927,-149.267,33.7,1.4,ml,,,,0.78,ak,ak11360738,2014-08-19T19:28:05.467Z,"31km ESE of Y, Alaska",earthquake
2014-08-19T19:14:40.171Z,41.8833,-119.6352,3.4478,3.11,ml,4,219.41,0.498,0.0542,nn,nn00456574,2014-08-20T03:17:18.617Z,"67km ESE of Lakeview, Oregon",earthquake
2014-08-19T19:14:16.010Z,34.3015,-116.4485,11.24,1.31,ml,22,96,0.0555,0.32,ci,ci37259736,2014-08-19T19:18:33.600Z,"20km N of Yucca Valley, California",earthquake
2014-08-19T19:14:09.074Z,41.8749,-119.6314,1.7111,2.84,ml,5,220.89,0.501,0.1506,nn,nn00456572,2014-08-20T03:16:38.790Z,"72km SE of Lakeview, Oregon",earthquake
2014-08-19T19:08:28.000Z,62.1545,-149.3178,25.9,2.8,ml,,,,0.63,ak,ak11360691,2014-08-20T03:10:57.226Z,"27km E of Y, Alaska",earthquake
2014-08-19T18:59:58.000Z,63.0974,-150.8559,132.7,2.4,ml,,,,0.38,ak,ak11360684,2014-08-19T20:55:22.598Z,"94km NNW of Talkeetna, Alaska",earthquake
2014-08-19T18:50:04.000Z,63.5116,-148.8019,17.1,0.4,ml,,,,0.07,ak,ak11360670,2014-08-19T18:56:05.931Z,"15km NNE of Cantwell, Alaska",earthquake
2014-08-19T18:48:25.900Z,36.6423,-121.1138,10.8,1.9,Md,27,75.6,0.02694946,0.17,nc,nc72280311,2014-08-19T22:17:06.131Z,"29km SE of Ridgemark, California",earthquake
2014-08-19T18:43:07.300Z,34.6978333,-116.2455,3.73,2.04,ml,20,60,0.07897,0.2,ci,ci37259720,2014-08-19T18:47:09.180Z,"62km N of Joshua Tree, California",earthquake
2014-08-19T18:33:42.200Z,40.4275,-124.3332,21.6,1.6,Md,7,291.6,0.10779783,0.03,nc,nc72280306,2014-08-19T21:48:08.037Z,"17km SSW of Ferndale, California",earthquake
2014-08-19T18:23:48.100Z,37.8717,-122.2495,9.2,1.7,Md,32,43.2,0.00898315,0.06,nc,nc72280301,2014-08-19T21:33:06.427Z,"2km E of Berkeley, California",earthquake
2014-08-19T18:19:58.080Z,-52.875,9.7052,11.1,5.1,mb,,78,22.003,1.2,us,usb000s4bw,2014-08-20T02:22:34.353Z,"Southwest of Africa",earthquake
2014-08-19T18:12:49.612Z,41.8789,-119.6312,0.7801,1.77,ml,4,220.23,0.501,0.0995,nn,nn00456571,2014-08-19T21:14:07.099Z,"68km ESE of Lakeview, Oregon",earthquake
2014-08-19T18:10:27.200Z,46.4297,-118.0112,0,1.9,Md,,237.6,0.12576414,0.18,uw,uw60848577,2014-08-20T03:05:52.563Z,"12km NNW of Dayton, Washington",quarry
2014-08-19T18:08:58.000Z,61.324,-147.4701,0,1.2,ml,,,,0.64,ak,ak11360626,2014-08-19T20:48:39.738Z,"63km WNW of Valdez, Alaska",earthquake
2014-08-19T18:02:40.500Z,33.4573333,-116.608,15.79,0.5,ml,22,70,0.03758,0.45,ci,ci37259712,2014-08-19T18:07:45.280Z,"12km SSE of Anza, California",earthquake
2014-08-19T17:59:11.350Z,32.5992,47.6489,9.37,4.5,mb,,94,9.405,0.7,us,usb000s4bf,2014-08-20T02:01:38.426Z,"37km ESE of Dehloran, Iran",earthquake
2014-08-19T17:58:43.000Z,53.5847,-167.5471,25.3,1.2,ml,,,,0.76,ak,ak11360590,2014-08-19T20:48:40.444Z,"74km WSW of Dutch Harbor, Alaska",earthquake
2014-08-19T17:43:27.100Z,46.4978,-122.4158,21.7,0.8,Md,,248.4,0.1527136,0.11,uw,uw60848557,2014-08-19T18:32:09.401Z,"12km WSW of Morton, Washington",earthquake
2014-08-19T17:42:10.280Z,32.8706667,-116.2226667,9.04,1.38,ml,26,88,0.05144,0.3,ci,ci37259696,2014-08-19T17:53:08.560Z,"29km E of Pine Valley, California",earthquake
2014-08-19T17:40:58.000Z,18.8502,-64.717,28,2,Md,3,334.8,0.54348075,0.02,pr,pr14231005,2014-08-19T19:33:39.396Z,"49km NNW of Road Town, British Virgin Islands",earthquake
2014-08-19T17:31:08.133Z,41.8849,-119.6377,0,1.25,ml,3,219.08,0.496,0.0161,nn,nn00456523,2014-08-19T18:05:06.419Z,"67km ESE of Lakeview, Oregon",earthquake
2014-08-19T17:28:31.000Z,61.3374,-150.6579,66.4,1.3,ml,,,,1.03,ak,ak11360571,2014-08-19T17:39:50.518Z,"42km WNW of Anchorage, Alaska",earthquake
2014-08-19T17:16:50.200Z,17.7975,-65.594,16,2.5,Md,4,291.6,0.30093562,0.03,pr,pr14231004,2014-08-20T01:19:41.802Z,"35km SSW of Esperanza, Puerto Rico",earthquake
